대한민국 경남 창원시 성산구 중앙동 102-1,"['35.2198757', '128.6742057']",114
대한민국 경상남도 창원시 성산구 성주동 53,"['35.1962399', '128.6870385']",29
대한민국 경상남도 창원시 성산구 웅남동 40-1,"['35.209599', '128.6633459']",26
대한민국 성산구 성주동 24-4번지 창원시 경상남도 KR,"['35.1921533', '128.707413']",16
대한민국 경상남도 창원시 성산구 상남동 21-7,"['35.2202925', '128.6845659']",4
대한민국 경상남도 창원시 성산구 내동 번지 지하층 층 456-19 KR 미주상가 3호,"['35.21666039999999', '128.6700898']",8
대한민국 경상남도 창원시 성산구 상남동 17-4번지 KR 청계빌딩,"['35.2217019', '128.6853657']",5
대한민국 성산구 남산동 601-38번지 102호 남경상가 창원시 경상남도 KR,"['35.2030628', '128.6940544']",27
대한민국 성산구 상남동 17-8번지 정원빌딩 3층 창원시 경상남도 KR,"['35.2217203', '128.6850212']",14
대한민국 경상남도 창원시 성산구 상남동 78-3,"['35.2234865', '128.6808439']",11
대한민국 경상남도 창원시 성산구 상남동 원이대로 774 성원아파트 108동,"['35.218669', '128.6922333']",268
대한민국 성산구 상남동 5-3번지 1층 103호 성경상가 창원시 경상남도 KR,"['35.22399', '128.6848623']",29
대한민국 서울특별시 영등포구 신길7동 1444,"['37.5023472', '126.9193659']",21
대한민국 경상남도 창원시 성산구 대방동,"['35.2150158', '128.7051474']",43
대한민국 성산구 중앙동 96-1번지 1층 창원시 경상남도 KR,"['35.2236304', '128.6789383']",1
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 105,"['35.22427630000001', '128.6795838']",13
대한민국 경상남도 창원시 성산구 상남동,"['35.2224313', '128.6890376']",20
